wy,wr,wd,wc,cap_min_pct,top_n,daily_replace_k,val2026_strict_period_return,val2026_strict_excess_equal,val2026_strict_max_drawdown,val2026_strict_turnover_mean,hold2026_recent_period_return,hold2026_recent_excess_equal,hold2026_recent_max_drawdown,hold2026_recent_turnover_mean,same_pre_2025_period_return,same_pre_2025_excess_equal,same_pre_2025_max_drawdown,same_pre_2025_turnover_mean,same_comp_2025_period_return,same_comp_2025_excess_equal,same_comp_2025_max_drawdown,same_comp_2025_turnover_mean,selection_score_period,rolling_10d_return_mean,rolling_10d_win_rate,rolling_10d_return_min,rolling_10d_turnover_mean,latest_10d_return,recent5_10d_return_mean,recent5_10d_return_min,selection_score_competition
0.0,0.5,0.0,0.25,0.5,20.0,5.0,0.14088059652913976,0.021885883699549913,-0.048111296552179605,0.5056818181818182,-0.003835667669975895,0.03823245614746795,-0.015364809641241983,0.5833333333333334,-0.048626975097079916,-0.027013973273654623,-0.03786819015405174,0.5833333333333334,-0.03138843999401442,-0.04477290139690748,-0.036258309871475825,0.5555555555555556,0.008638730501080135,0.010857059147835621,0.7468354430379747,-0.06796145408687349,0.5499999999999997,0.026943672415074005,0.02830381226615013,0.011836235079069946,0.013094468531733013
0.0,1.0,0.0,0.5,0.5,20.0,5.0,0.14088059652913976,0.021885883699549913,-0.048111296552179605,0.5056818181818182,-0.003835667669975895,0.03823245614746795,-0.015364809641241983,0.5833333333333334,-0.048626975097079916,-0.027013973273654623,-0.03786819015405174,0.5833333333333334,-0.03138843999401442,-0.04477290139690748,-0.036258309871475825,0.5555555555555556,0.008638730501080135,0.010857059147835621,0.7468354430379747,-0.06796145408687349,0.5499999999999997,0.026943672415074005,0.02830381226615013,0.011836235079069946,0.013094468531733013
0.0,1.5,0.0,0.75,0.5,20.0,5.0,0.14088059652913976,0.021885883699549913,-0.048111296552179605,0.5056818181818182,-0.003835667669975895,0.03823245614746795,-0.015364809641241983,0.5833333333333334,-0.048626975097079916,-0.027013973273654623,-0.03786819015405174,0.5833333333333334,-0.03138843999401442,-0.04477290139690748,-0.036258309871475825,0.5555555555555556,0.008638730501080135,0.010857059147835621,0.7468354430379747,-0.06796145408687349,0.5499999999999997,0.026943672415074005,0.02830381226615013,0.011836235079069946,0.013094468531733013
0.25,1.0,0.25,0.75,0.0,20.0,5.0,0.11214627805532262,-0.00684843477426722,-0.04977907852417163,0.5056818181818182,0.008286537061312771,0.05035466087875662,-0.017484752723192165,0.5833333333333334,-0.029595654492733936,-0.007982652669308643,-0.026521721260277964,0.5833333333333334,-0.0042153491741970806,-0.017599810577090147,-0.01474906349894034,0.5555555555555556,0.005669500084309087,0.010179379224636496,0.6708860759493671,-0.06309439636094205,0.5499999999999997,0.0072025839350720045,0.02333606965438051,0.005283938123882059,0.012837245831692377
0.25,2.0,0.5,0.75,0.0,20.0,5.0,0.15789451870684879,0.03889980587725894,-0.06950064136030965,0.5056818181818182,-0.05308921071013539,-0.011021086892691545,-0.05133696962767731,0.5833333333333334,-0.0405502677172811,-0.018937265893855804,-0.031944365240307526,0.5833333333333334,-0.017557778181374495,-0.03094223958426756,-0.04234236050546736,0.5555555555555556,0.007267715099875135,0.009618617204675523,0.7468354430379747,-0.07784123799134723,0.5499999999999997,0.02042566938178325,0.04458374040609381,0.015998575202743615,0.012724109039681047
0.0,0.5,0.0,0.25,0.0,20.0,5.0,0.13753884935548188,0.01854413652589204,-0.048035306562323354,0.5056818181818182,-0.04889524931225819,-0.006827125494814346,-0.051707280594499694,0.5833333333333334,-0.043144555830765374,-0.02153155400734008,-0.031797472630855306,0.5833333333333334,0.006943996336225,-0.006440465066668066,-0.03074405386152712,0.5555555555555556,0.0024422772018466102,0.011004890869010006,0.7088607594936709,-0.06360548550939149,0.5499999999999997,0.03669702194162672,0.04579182044880063,0.030654497447641038,0.01266972611802467
0.0,1.0,0.0,0.5,0.0,20.0,5.0,0.13753884935548188,0.01854413652589204,-0.048035306562323354,0.5056818181818182,-0.04889524931225819,-0.006827125494814346,-0.051707280594499694,0.5833333333333334,-0.043144555830765374,-0.02153155400734008,-0.031797472630855306,0.5833333333333334,0.006943996336225,-0.006440465066668066,-0.03074405386152712,0.5555555555555556,0.0024422772018466102,0.011004890869010006,0.7088607594936709,-0.06360548550939149,0.5499999999999997,0.03669702194162672,0.04579182044880063,0.030654497447641038,0.01266972611802467
0.0,1.5,0.0,0.75,0.0,20.0,5.0,0.13753884935548188,0.01854413652589204,-0.048035306562323354,0.5056818181818182,-0.04889524931225819,-0.006827125494814346,-0.051707280594499694,0.5833333333333334,-0.043144555830765374,-0.02153155400734008,-0.031797472630855306,0.5833333333333334,0.006943996336225,-0.006440465066668066,-0.03074405386152712,0.5555555555555556,0.0024422772018466102,0.011004890869010006,0.7088607594936709,-0.06360548550939149,0.5499999999999997,0.03669702194162672,0.04579182044880063,0.030654497447641038,0.01266972611802467
0.0,1.0,0.25,0.5,0.0,10.0,3.0,0.10484862258637495,-0.014146090243214893,-0.05294618723711486,0.6045454545454544,0.0017032337724038893,0.04377135758984774,-0.020883862265155373,0.6666666666666666,-0.024806016938014097,-0.003193015114588804,-0.04636802163785836,0.6666666666666666,-0.026138606614247828,-0.039523068017140894,-0.051690809313690966,0.6444444444444444,-0.0018303136817442228,0.008207936076407851,0.6329113924050633,-0.07948237353585064,0.6399999999999999,0.022689834071164983,0.04224109328956875,0.022689834071164983,0.012561080151771698
0.0,1.0,0.25,0.25,0.0,10.0,5.0,0.16048394866327165,0.0414892358336818,-0.11833171263506392,1.0,-0.03437399994349255,0.007694123873951297,-0.03445481795259053,1.0,-0.05001830236394755,-0.02840530054052226,-0.05172423106472468,1.0,-0.046531612980937,-0.059916074383830065,-0.059205827660090526,1.0,0.007345480854991787,0.010235550669288374,0.6835443037974683,-0.09850920495654492,1.0,0.052146193917769645,0.04017560616139071,0.020808714186711263,0.012370964803347612
