wy,wr,wd,wc,cap_min_pct,top_n,daily_replace_k,val2026_strict_period_return,val2026_strict_excess_equal,val2026_strict_max_drawdown,val2026_strict_turnover_mean,hold2026_recent_period_return,hold2026_recent_excess_equal,hold2026_recent_max_drawdown,hold2026_recent_turnover_mean,same_pre_2025_period_return,same_pre_2025_excess_equal,same_pre_2025_max_drawdown,same_pre_2025_turnover_mean,same_comp_2025_period_return,same_comp_2025_excess_equal,same_comp_2025_max_drawdown,same_comp_2025_turnover_mean,selection_score_period
0.0,0.5,0.25,0.5,0.0,10,3,0.018691702841538538,-0.1003030099880513,-0.05027837225429477,0.6045454545454544,-0.02565791607278811,0.016410207744655736,-0.05363452626950094,0.6666666666666666,-0.05375074800791302,-0.032137746184487725,-0.05576147989349922,0.6666666666666666,-0.004821464630125116,-0.018205926033018183,-0.01464196152154984,0.6444444444444444,-0.04858535339108504
0.0,0.5,0.25,0.5,0.5,20,5,0.0771588036354649,-0.04183590919412494,-0.04929933859198521,0.5056818181818182,0.013603260266807693,0.05567138408425154,-0.01849192262589927,0.5833333333333334,-0.014629940114895823,0.00698306170852947,-0.02124791788899627,0.5833333333333334,0.0024276665825908594,-0.010956794820302207,-0.006943629592086609,0.5555555555555556,-0.005504373083059251
0.0,0.5,0.25,0.5,0.5,20,3,0.05923784482462602,-0.059756868004963826,-0.051028783061081606,0.30795454545454537,-0.004227318319600659,0.03784080549784319,-0.03946141438084627,0.4166666666666667,-0.019409001976944062,0.0022039998464812305,-0.025755379475047357,0.4166666666666667,0.0058270756518112865,-0.00755738575108178,-0.0065530702674138075,0.3777777777777777,-0.018233397113463008
0.0,0.5,0.25,0.5,0.5,10,5,0.05969466059084905,-0.0593000522387408,-0.04959987754362294,1.0,0.005459039998161108,0.047527163815604956,-0.016461913901567482,1.0,-0.03976072798783259,-0.018147726164407296,-0.041035613494554535,1.0,-0.02101402765769511,-0.03439848906058818,-0.02268219440838115,1.0,-0.02268516483728144
0.0,0.5,0.25,0.5,0.5,10,3,0.02781195014168003,-0.09118276268790981,-0.05027837225429477,0.6045454545454544,-0.02565791607278811,0.016410207744655736,-0.05363452626950094,0.6666666666666666,-0.04575097747811874,-0.024137975654693444,-0.04595256471875775,0.6666666666666666,-0.005974379822143661,-0.019358841225036727,-0.014641961521549951,0.6444444444444444,-0.043454213805355
0.0,0.5,0.25,0.75,0.0,20,5,0.015199955017663802,-0.10379475781192604,-0.07716166786834378,0.5056818181818182,-0.005060086095170835,0.03700803772227301,-0.01999203369915481,0.5833333333333334,-0.03632468948432399,-0.014711687660898698,-0.03870574198714316,0.5833333333333334,0.01254594776610296,-0.0008385136367901058,-0.009369929801909982,0.5555555555555556,-0.03978816177945179
0.0,0.5,0.25,0.75,0.0,20,3,0.022485939772919572,-0.09650877305667027,-0.06010876879060012,0.30795454545454537,-0.01725662974649622,0.024811494070947626,-0.02239436424955288,0.4166666666666667,-0.02890588190467791,-0.007292880081252617,-0.03130526482456053,0.4166666666666667,0.013829130385546451,0.0004446689826533845,-0.008807106676201215,0.3777777777777777,-0.038253306022554605
0.0,0.5,0.25,0.75,0.0,10,5,-0.06314307507902417,-0.182137787908614,-0.07195729258067696,1.0,-0.026495498371836956,0.015572625445606891,-0.024244976657629036,1.0,-0.031217741723067127,-0.009604739899641834,-0.03668794251980545,1.0,0.0036864767632511786,-0.009697984639641888,-0.006509092217233725,1.0,-0.08096425687836714
0.0,0.5,0.25,0.75,0.0,10,3,0.030849092138669043,-0.0881456206909208,-0.055333579746631,0.6045454545454544,-0.03142914629968363,0.010638977517760217,-0.030017433758378065,0.6666666666666666,-0.027887344868449238,-0.006274343045023945,-0.03337635065399902,0.6666666666666666,0.003727722617193452,-0.009656738785699615,-0.012532603110520846,0.6444444444444444,-0.039395447206082845
0.0,0.5,0.25,0.75,0.5,20,5,0.01688010697564879,-0.10211460585394105,-0.07716166786834378,0.5056818181818182,-0.005060086095170835,0.03700803772227301,-0.01999203369915481,0.5833333333333334,-0.03161147742575776,-0.009998475602332468,-0.034004175350272337,0.5833333333333334,0.004778880906197269,-0.008605580496695797,-0.009369929801909871,0.5555555555555556,-0.039490171618559465
0.0,0.5,0.25,0.75,0.5,20,3,0.022485939772919572,-0.09650877305667027,-0.06010876879060012,0.30795454545454537,-0.01725662974649622,0.024811494070947626,-0.02239436424955288,0.4166666666666667,-0.02890588190467791,-0.007292880081252617,-0.03130526482456053,0.4166666666666667,0.002771146729247942,-0.010613314673645124,-0.008641584258987867,0.3777777777777777,-0.03991200357099938
0.0,0.5,0.25,0.75,0.5,10,5,-0.06314307507902417,-0.182137787908614,-0.07195729258067696,1.0,-0.026495498371836956,0.015572625445606891,-0.024244976657629036,1.0,-0.031217741723067127,-0.009604739899641834,-0.03668794251980545,1.0,0.0006218373334914151,-0.012762624069401651,-0.007174184480803869,1.0,-0.08142395279283111
0.0,0.5,0.25,0.75,0.5,10,3,0.030849092138669043,-0.0881456206909208,-0.055333579746631,0.6045454545454544,-0.03142914629968363,0.010638977517760217,-0.030017433758378065,0.6666666666666666,-0.027887344868449238,-0.006274343045023945,-0.03337635065399902,0.6666666666666666,-0.005113935314181028,-0.018498396717074095,-0.012532603110520846,0.6444444444444444,-0.040721695895789015
0.0,0.5,0.5,0.0,0.0,20,5,0.1255841250925711,0.006589412262981265,-0.12313148353957182,0.5056818181818182,-0.08021023183084841,-0.03814210801340456,-0.05805259539532981,0.5833333333333334,-0.028858966471302594,-0.007245964647877301,-0.017464897207312702,0.5833333333333334,0.01591090271194684,0.002526441309053773,-0.021682766558416722,0.5555555555555556,-0.007278219985833101
0.0,0.5,0.5,0.0,0.0,20,3,0.048162717885133155,-0.07083199494445669,-0.1353857704326209,0.30795454545454537,-0.08944689087760893,-0.04737876706016508,-0.06472063961280872,0.4166666666666667,-0.02711978995658304,-0.005506788133157747,-0.018360630676431122,0.4166666666666667,0.0015781094401743356,-0.01180635196271873,-0.036782028625882535,0.3777777777777777,-0.046316060504428255
0.0,0.5,0.5,0.0,0.0,10,5,0.1212398868237754,0.0022451739941855564,-0.13235353245395998,1.0,-0.0985549243022611,-0.056486800484817246,-0.07298606251598183,1.0,-0.02876738516993893,-0.0071543833465136375,-0.016750614586472645,1.0,0.01885239776649761,0.005467936363604542,-0.016424785579067236,1.0,-0.013364338871257174
