score_variant,top_n,daily_replace_k,cap_min_pct,cap_bonus,val_period_return,val_sharpe,val_max_drawdown,val_turnover_mean,hold_period_return,hold_sharpe,hold_max_drawdown,hold_turnover_mean,val_excess_equal,hold_excess_equal
y_score,10,1,0.5,0.0,0.07311688732938415,1.0489328196409258,-0.11121089393155603,0.20909090909090908,-0.03985766879109398,-13.041759296005472,-0.033126892488796744,0.3333333333333333,-0.04158629107637757,0.0020889807602976207
y_score,10,1,0.5,0.25,0.029144473166459184,0.5923042458194593,-0.07289888952946721,0.20909090909090908,-0.02805729422373271,-11.330644050321334,-0.01986328150220562,0.3333333333333333,-0.08555870523930253,0.013889355327658892
y_score,10,1,0.5,0.5,0.012339361678116223,0.33882766350200005,-0.05702232057185974,0.20909090909090908,-0.01987941539561089,-17.48085846451217,-0.011003847691733237,0.3333333333333333,-0.1023638167276455,0.022067234155780713
y_score,10,1,0.5,1.0,-0.030867203106152763,-0.6462796159516397,-0.06682829723726036,0.20909090909090908,-0.009258081699502263,-9.376830239127068,-0.007022771680522455,0.3333333333333333,-0.14557038151191448,0.03268856785188934
y_score,10,1,0.8,0.0,-0.023169152461335663,-0.3000532132644112,-0.10652105288650981,0.20909090909090908,-0.04194762462167978,-22.488812563288626,-0.029550790633595003,0.3333333333333333,-0.13787233086709738,-9.750702881783369e-07
y_score,10,1,0.8,0.25,-0.001770636649355839,0.04111338066996534,-0.08681738502615455,0.20909090909090908,-0.04271429728559595,-27.355068941655457,-0.03250765471538497,0.3333333333333333,-0.11647381505511756,-0.0007676477342043464
y_score,10,1,0.8,0.5,0.005557262465391233,0.18935685756115736,-0.06033304583441679,0.20909090909090908,-0.028358576256535928,-21.15289851478271,-0.01774163550970409,0.3333333333333333,-0.10914591594037049,0.013588073294855674
y_score,10,1,0.8,1.0,-0.030867203106152763,-0.6462796159516397,-0.06682829723726036,0.20909090909090908,-0.009258081699502263,-9.376830239127068,-0.007022771680522455,0.3333333333333333,-0.14557038151191448,0.03268856785188934
y_score,10,2,0.0,0.0,0.0739354357770512,0.9528613560880264,-0.14214902408142038,0.4068181818181818,-0.05906337452776267,-8.637164793271607,-0.0585716592066966,0.49999999999999994,-0.040767742628710524,-0.017116724976371067
y_score,10,2,0.0,0.25,0.10156839020187136,1.49767082118461,-0.10764815936749272,0.4068181818181818,-0.04223933240111388,-7.391049081774972,-0.0472758279279184,0.49999999999999994,-0.013134788203890357,-0.0002926828497222811
y_score,10,2,0.0,0.5,0.0018768619080047344,0.1083836550647614,-0.070573926678835,0.4068181818181818,-0.01895801214455628,-17.076575090819965,-0.010074100592925905,0.49999999999999994,-0.11282631649775698,0.02298863740683532
y_score,10,2,0.0,1.0,-0.028259173159837614,-0.6345019908344205,-0.06550899100704699,0.4068181818181818,-0.005936745430847323,-3.749435974547388,-0.010422497831965138,0.49999999999999994,-0.14296235156559933,0.03600990412054428
y_score,10,2,0.2,0.0,0.11101100867676506,1.5353642264126552,-0.10845925010365665,0.4068181818181818,-0.03785025090845939,-6.780109792982208,-0.046699924249106406,0.49999999999999994,-0.0036921697289966637,0.004096398642932209
y_score,10,2,0.2,0.25,0.09820005014039834,1.5753248081467808,-0.10195323269324719,0.4068181818181818,-0.0344427407810427,-8.840777528224024,-0.03635177130516887,0.49999999999999994,-0.016503128265363376,0.007503908770348899
y_score,10,2,0.2,0.5,-0.0015990623189913178,0.03842237324227767,-0.07168010637280187,0.4068181818181818,-0.01895801214455628,-17.076575090819965,-0.010074100592925905,0.49999999999999994,-0.11630224072475304,0.02298863740683532
y_score,10,2,0.2,1.0,-0.028259173159837614,-0.6345019908344205,-0.06550899100704699,0.4068181818181818,-0.005936745430847323,-3.749435974547388,-0.010422497831965138,0.49999999999999994,-0.14296235156559933,0.03600990412054428
y_score,10,2,0.5,0.0,0.07302097053876411,1.1664554517695387,-0.08460655826647445,0.4068181818181818,-0.037098739496234545,-9.950884312789821,-0.033667588066540466,0.49999999999999994,-0.04168220786699761,0.004847910055157056
y_score,10,2,0.5,0.25,0.0981154607187833,1.607734116989985,-0.07799264611688694,0.4068181818181818,-0.02632545036534939,-10.075464758575832,-0.022160756685600358,0.49999999999999994,-0.01658771768697842,0.015621199186042212
y_score,10,2,0.5,0.5,-0.011160548279646632,-0.1732020962249516,-0.070722394709268,0.4068181818181818,-0.01895801214455628,-17.076575090819965,-0.010074100592925905,0.49999999999999994,-0.12586372668540835,0.02298863740683532
y_score,10,2,0.5,1.0,-0.028259173159837614,-0.6345019908344205,-0.06550899100704699,0.4068181818181818,-0.005936745430847323,-3.749435974547388,-0.010422497831965138,0.49999999999999994,-0.14296235156559933,0.03600990412054428
y_score,10,2,0.8,0.0,0.07054310576151734,1.1318382330360142,-0.11126926252065572,0.4068181818181818,-0.045916088176631176,-20.303748251308274,-0.03357060460021777,0.49999999999999994,-0.044160072644244375,-0.003969438625239574
y_score,10,2,0.8,0.25,0.03630590339003903,0.6899972719713249,-0.10955492951939061,0.4068181818181818,-0.04606031198484639,-29.677105213343488,-0.035889344841493975,0.49999999999999994,-0.07839727501572269,-0.00411366243345479
y_score,10,2,0.8,0.5,-0.009131723450251372,-0.13161799913770372,-0.06903353318086158,0.4068181818181818,-0.036632966908792586,-30.310445384457566,-0.026106438852408487,0.49999999999999994,-0.12383490185601309,0.005313682642599016
y_score,10,2,0.8,1.0,-0.028259173159837614,-0.6345019908344205,-0.06550899100704699,0.4068181818181818,-0.005936745430847323,-3.749435974547388,-0.010422497831965138,0.49999999999999994,-0.14296235156559933,0.03600990412054428
y_score,10,3,0.0,0.0,0.03562032750309996,0.5453349238677883,-0.13461468826322942,0.6045454545454544,-0.0645914067027733,-9.86902188989853,-0.06118875587101891,0.6666666666666666,-0.07908285090266176,-0.0226447571513817
y_score,10,3,0.0,0.25,0.13975333013130498,1.8900403473057672,-0.10725693104883494,0.6045454545454544,-0.03933873639296792,-7.17867758140056,-0.04310562891763392,0.6666666666666666,0.025050151725543257,0.0026079131584236803
