score_variant,top_n,daily_replace_k,val_period_return,val_sharpe,val_max_drawdown,val_turnover_mean,val_day_count,val_final_nav,hold_period_return,hold_sharpe,hold_max_drawdown,hold_turnover_mean,hold_day_count,hold_final_nav,val_excess_equal,hold_excess_equal
return_pred,10,10,0.018112571958553536,0.3222458656181125,-0.24279239665006058,1.9886363636363635,88.0,1018112.5719585535,-0.035201847353012794,-6.313703288941939,-0.054678905080549955,1.8333333333333333,6.0,964798.1526469872,-0.09659060644720818,0.006744802198378808
return_pred,20,0,0.07361077859779752,1.033287768324535,-0.1334311404461187,0.05795454545454545,88.0,1073610.7785977975,-0.0025731559356496625,-0.27601091351095336,-0.030063277634885477,0.18333333333333335,6.0,997426.8440643504,-0.0410923998079642,0.03937349361574194
return_pred,20,1,-0.03528172840114474,-0.3804007389161821,-0.15213334888580043,0.11022727272727272,88.0,964718.2715988553,-0.029935919156099167,-5.690400601556969,-0.042027598104142916,0.25000000000000006,6.0,970064.0808439008,-0.14998490680690646,0.012010730395292435
return_pred,20,2,0.022099406077572548,0.39696812107201057,-0.1287340452933622,0.20909090909090908,88.0,1022099.4060775725,-0.02692624432368984,-5.559203744901921,-0.03311959465352898,0.3333333333333333,6.0,973073.7556763102,-0.09260377232818917,0.01502040522770176
return_pred,20,3,-0.008686219719570842,0.0005567953916062123,-0.15280506172687813,0.30795454545454537,88.0,991313.7802804292,-0.04522218547356993,-9.259441683002168,-0.04523063944089789,0.4166666666666667,6.0,954777.8145264301,-0.12338939812533256,-0.00327553592217833
return_pred,20,5,0.07422546046180312,0.9932893946884348,-0.14731847296313683,0.5056818181818182,88.0,1074225.460461803,-0.04497463266735613,-10.88427001121179,-0.04353786004744897,0.5833333333333334,6.0,955025.3673326438,-0.0404777179439586,-0.0030279831159645276
return_pred,20,10,0.116940093713505,1.4273859796135082,-0.1702727596586444,1.0,88.0,1116940.093713505,-0.02792717214902829,-4.710356916541972,-0.03914271230441313,1.0,6.0,972072.8278509717,0.0022369153077432813,0.014019477402363312
return_pred,20,20,0.060888091260385524,0.8049430810038799,-0.1874311103728059,1.9886363636363635,88.0,1060888.0912603855,-0.07094311107798257,-10.38247712561488,-0.07114759944273075,1.8333333333333333,6.0,929056.8889220174,-0.053815087145376195,-0.028996461526590966
return_pred,30,0,0.08414062171222958,1.1831251438895725,-0.12739198478867986,0.042424242424242434,88.0,1084140.6217122297,-0.013731880115720463,-1.5676318114728098,-0.03514221875878365,0.1777777777777778,6.0,986268.1198842796,-0.03056255669353214,0.02821476943567114
return_pred,30,1,0.025368871375172297,0.45243237746571124,-0.13509615464336355,0.07727272727272726,88.0,1025368.8713751724,-0.021691458252881213,-2.8546656112240587,-0.03556707603444609,0.2222222222222222,6.0,978308.5417471188,-0.08933430703058942,0.02025519129851039
return_pred,30,2,0.028571830777174956,0.49468432343313845,-0.12257377294753213,0.14318181818181816,88.0,1028571.830777175,-0.029030934368904804,-3.829357990338754,-0.0393898870594146,0.27777777777777773,6.0,970969.0656310952,-0.08613134762858676,0.012915715182486798
return_pred,30,3,0.08838306879920377,1.2329433359895594,-0.1327427874785786,0.20909090909090908,88.0,1088383.0687992037,-0.042463293840085736,-6.022039465357295,-0.044451908083532166,0.3333333333333333,6.0,957536.7061599143,-0.02632010960655795,-0.0005166442886941347
return_pred,30,5,0.037304756411866036,0.5967614057888531,-0.1285003298727473,0.3409090909090909,88.0,1037304.7564118659,-0.03947305947594648,-6.662826048808942,-0.03577558792627966,0.4444444444444444,6.0,960526.9405240535,-0.07739842199389568,0.00247359007544512
return_pred,30,10,0.08028041090493154,1.1034161354253647,-0.14788480731199194,0.6704545454545455,88.0,1080280.4109049316,-0.029794367604386696,-5.202412055433412,-0.025359317245655655,0.7222222222222222,6.0,970205.6323956134,-0.034422767500830176,0.012152281947004906
return_pred,30,30,0.08884124997676257,1.1320549771343829,-0.17022722901998988,1.9886363636363635,88.0,1088841.2499767626,-0.0812499492827713,-16.708566494197427,-0.0650792155122355,1.8333333333333333,6.0,918750.0507172287,-0.025861928428999148,-0.03930329973137969
return_pred,50,0,0.08174957042894682,1.1301217118422449,-0.13392021686022204,0.029999999999999995,88.0,1081749.5704289468,-0.025488598555150954,-3.476470610256459,-0.041396937027606606,0.17333333333333334,6.0,974511.4014448491,-0.0329536079768149,0.016458050996240647
return_pred,50,1,0.06399866825933276,0.9500244543935595,-0.1345422014868437,0.05090909090909091,88.0,1063998.6682593327,-0.020740636360270903,-2.917044364645983,-0.03685095797655247,0.20000000000000004,6.0,979259.3636397291,-0.05070451014642896,0.0212060131911207
return_pred,50,2,0.050906460542851084,0.7989163052017778,-0.12035268410399169,0.09045454545454545,88.0,1050906.4605428511,-0.029579686070314026,-4.606363594475092,-0.03810233100792226,0.2333333333333334,6.0,970420.313929686,-0.06379671786291063,0.012366963481077575
return_pred,50,3,0.07782427076119247,1.1499002396615974,-0.11465340270074342,0.13000000000000003,88.0,1077824.2707611925,-0.03915357269344755,-5.9901520365691665,-0.04413575742921527,0.2666666666666668,6.0,960846.4273065524,-0.03687890764456925,0.0027930768579440546
return_pred,50,5,0.0660336473790768,0.9823009613007107,-0.12409268094578829,0.20909090909090908,88.0,1066033.6473790768,-0.04232053998826002,-7.842071490232846,-0.0382002861064098,0.3333333333333333,6.0,957679.46001174,-0.04866953102668492,-0.00037389043686841816
return_pred,50,10,0.07219986829807046,1.0532090325554244,-0.12640198853572604,0.4068181818181818,88.0,1072199.8682980705,-0.03311157134275522,-5.379340577453102,-0.03904959122131957,0.49999999999999994,6.0,966888.4286572448,-0.04250331010769126,0.008835078208636382
return_pred,50,50,0.01830830786924742,0.34277292898880696,-0.17510546770616953,1.9886363636363635,88.0,1018308.3078692474,-0.04653968281976728,-8.499245380193582,-0.044492408038974696,1.8333333333333333,6.0,953460.3171802327,-0.0963948705365143,-0.004593033268375679
direction_prob,5,0,0.07733106306720705,1.2087558484529852,-0.09430616125226965,0.19999999999999998,88.0,1077331.063067207,-0.05629458125406561,-9.563911580781722,-0.04898770545075537,0.3333333333333333,6.0,943705.4187459344,-0.03737211533855467,-0.01434793170267401
direction_prob,5,1,0.18928810602662471,2.3969132006586436,-0.10700614331553071,0.4068181818181818,88.0,1189288.1060266248,-0.06524245789168737,-17.196046846321195,-0.043513855076514174,0.49999999999999994,6.0,934757.5421083126,0.074584927620863,-0.023295808340295765
direction_prob,5,2,0.05045634849537639,0.7019640751339957,-0.12644341719844976,0.8022727272727272,88.0,1050456.3484953763,-0.07153663333571425,-15.890561133923395,-0.05075549755861464,0.8333333333333334,6.0,928463.3666642858,-0.06424682991038533,-0.02958998378432265
direction_prob,5,3,0.05638931753427712,0.7603519921012898,-0.12561144761511267,1.1977272727272725,88.0,1056389.3175342772,-0.07645360355970399,-15.198144197902494,-0.05920133009150996,1.1666666666666667,6.0,923546.396440296,-0.0583138608714846,-0.034506954008312385
direction_prob,5,5,0.09933845287656617,1.175683161166401,-0.14062362438100884,1.9886363636363635,88.0,1099338.4528765662,-0.09637190710463106,-20.074932127976744,-0.07517895795559926,1.8333333333333333,6.0,903628.0928953689,-0.015364725529195544,-0.05442525755323946
direction_prob,10,0,0.09036870195907354,1.4028534634530165,-0.09341254180329528,0.1056818181818182,88.0,1090368.7019590735,-0.05092002192609202,-11.056765991820448,-0.045896436252178985,0.25000000000000006,6.0,949079.978073908,-0.02433447644668818,-0.008973372374700417
direction_prob,10,1,0.11740357376192367,1.6395781161204008,-0.10215266368183695,0.20909090909090908,88.0,1117403.5737619237,-0.0421241013345498,-10.01762906536184,-0.03652931808708382,0.3333333333333333,6.0,957875.8986654502,0.0027003953561619554,-0.0001774517831582001
direction_prob,10,2,0.0710541246861136,1.0032197654881885,-0.1143382226633134,0.4068181818181818,88.0,1071054.1246861136,-0.04452556976662159,-10.103677020482497,-0.03889221733912562,0.49999999999999994,6.0,955474.4302333784,-0.04364905371964811,-0.002578920215229985
direction_prob,10,3,0.0884737743261863,1.2524040132019802,-0.12807276861489258,0.6045454545454544,88.0,1088473.7743261864,-0.06566040459302791,-15.017231195881378,-0.0542992880359473,0.6666666666666666,6.0,934339.5954069721,-0.026229404079575414,-0.02371375504163631
direction_prob,10,5,0.14905115517684453,1.9201450988311635,-0.10890986345970843,1.0,88.0,1149051.1551768444,-0.08065809790308054,-18.88559328222875,-0.06590056733331762,1.0,6.0,919341.9020969195,0.03434797677108281,-0.03871144835168894
direction_prob,10,10,0.026482837021558625,0.43441697221464726,-0.13973592425683234,1.9886363636363635,88.0,1026482.8370215587,-0.06989122557810568,-17.296791464170557,-0.06006820213673203,1.8333333333333333,6.0,930108.7744218943,-0.0882203413842031,-0.027944576026714074
direction_prob,20,0,0.12395289419912592,1.9153321746322787,-0.08468636675970043,0.058522727272727275,88.0,1123952.894199126,-0.04970476815351965,-12.087543753496947,-0.04046772581394875,0.20000000000000004,6.0,950295.2318464804,0.0092497157933642,-0.00775811860212805
direction_prob,20,1,0.10405920495688359,1.5574027638040087,-0.09053537838347103,0.11022727272727272,88.0,1104059.2049568836,-0.045574608788626736,-11.648057761254634,-0.03579769982408787,0.25000000000000006,6.0,954425.3912113733,-0.01064397344887813,-0.0036279592372351344
direction_prob,20,2,0.06987747913810693,1.0284790943739195,-0.11076231747293241,0.20909090909090908,88.0,1069877.479138107,-0.04744481615948426,-11.255782233620202,-0.04001901566406929,0.3333333333333333,6.0,952555.1838405158,-0.044825699267654784,-0.005498166608092658
direction_prob,20,3,0.1389689548394415,1.8807640424668046,-0.11714977995157294,0.30795454545454537,88.0,1138968.9548394415,-0.06031237440290449,-15.615459797558465,-0.04729172747689003,0.4166666666666667,6.0,939687.6255970955,0.024265776433679775,-0.018365724851512888
direction_prob,20,5,0.11901043498064379,1.6380108832174811,-0.11367308039092805,0.5056818181818182,88.0,1119010.4349806437,-0.06934005822194877,-17.35697958616737,-0.05537796354990954,0.5833333333333334,6.0,930659.9417780512,0.004307256574882068,-0.027393408670557173
direction_prob,20,10,0.11575033690435022,1.535124883030921,-0.12178700810310206,1.0,88.0,1115750.3369043502,-0.0713829769655111,-18.007299165552144,-0.05818176410942544,1.0,6.0,928617.0230344889,0.0010471584985884963,-0.0294363274141195
direction_prob,20,20,0.0019467955014764726,0.1365622376841847,-0.1534990440219064,1.9886363636363635,88.0,1001946.7955014764,-0.05644427472022351,-10.423384438065032,-0.05597642212124532,1.8333333333333333,6.0,943555.7252797765,-0.11275638290428525,-0.014497625168831907
direction_prob,30,0,0.11349424780974915,1.7333097857864528,-0.09228911933748485,0.042803030303030315,88.0,1113494.247809749,-0.04744437348052255,-9.44522574791802,-0.04517794669120179,0.18888888888888897,6.0,952555.6265194775,-0.0012089305960125696,-0.005497723929130949
direction_prob,30,1,0.06874914018191736,1.063600666264671,-0.0980486058448814,0.07727272727272726,88.0,1068749.1401819175,-0.04381941654296373,-9.04212501248651,-0.04146379533121247,0.2222222222222222,6.0,956180.5834570363,-0.04595403822384436,-0.001872766991572128
