industry,count,top20,top80,median_rank,mean_score,variant
农业综合,37,0,0,3702.0,-0.5771788570279993,strict_theme_s2
农用机械,10,0,0,2919.5,-0.4864975013995433,strict_theme_s2
农药化肥,52,0,0,3754.0,-0.7025968910821875,strict_theme_s2
出版业,28,0,0,3379.0,-0.47727458928799954,strict_theme_s2
化学制药,135,0,0,3689.0,-0.5149324901437812,strict_theme_s2
化工原料,231,3,6,2340.0,0.12017040746004633,strict_theme_s2
化工机械,12,0,0,3486.5,-0.512918957398928,strict_theme_s2
化纤,31,0,0,3596.0,-0.4003248380699831,strict_theme_s2
区域地产,38,0,0,2886.5,-0.05075414314231461,strict_theme_s2
医疗保健,164,1,1,3231.0,-0.34830720731145315,strict_theme_s2
医药商业,35,0,0,3323.0,-0.4994383923127186,strict_theme_s2
半导体,186,2,11,749.5,1.1336428627875619,strict_theme_s2
商品城,4,0,0,3136.5,-0.22764647883866068,strict_theme_s2
商贸代理,14,0,0,2992.0,-0.18084052483967114,strict_theme_s2
啤酒,6,0,0,3341.0,-0.5697000724797703,strict_theme_s2
园区开发,12,0,0,2778.0,-0.3720088563282768,strict_theme_s2
塑料,64,0,2,1449.5,0.5714061888662363,strict_theme_s2
多元金融,22,0,0,2957.0,-0.36906734324978746,strict_theme_s2
家居用品,62,0,0,2630.0,-0.0755552687741759,strict_theme_s2
家用电器,79,0,1,2405.0,-0.05736351138575526,strict_theme_s2
小金属,57,0,1,2249.0,0.12433543314881738,strict_theme_s2
工程机械,32,0,0,2806.5,-0.16797130956187697,strict_theme_s2
广告包装,48,1,1,3308.0,-0.38355902550301857,strict_theme_s2
建筑工程,106,1,3,2860.0,-0.09721067330023123,strict_theme_s2
影视音像,32,0,1,2911.5,-0.10316237881652057,strict_theme_s2
房产服务,11,0,0,2514.0,-0.12621602406898044,strict_theme_s2
批发业,5,0,0,3385.0,-0.5255294070370381,strict_theme_s2
摩托车,11,0,0,3162.0,-0.3207892849964466,strict_theme_s2
文教休闲,46,0,1,3129.5,-0.26586886589523867,strict_theme_s2
新型电力,30,0,0,1422.0,0.3665258575983782,strict_theme_s2
旅游景点,17,0,0,3612.0,-0.3768393480748776,strict_theme_s2
旅游服务,7,0,0,3119.0,-0.4891722896611222,strict_theme_s2
日用化工,18,0,0,3043.0,-0.2591979131443631,strict_theme_s2
普钢,25,0,0,3178.0,-0.5855534185893265,strict_theme_s2
服饰,56,0,1,2686.5,-0.13158554582513002,strict_theme_s2
机场,5,0,0,4088.0,-0.7440517030860768,strict_theme_s2
机床制造,21,0,0,1143.0,0.5447399722951386,strict_theme_s2
机械基件,112,0,0,1818.0,0.32261359200901557,strict_theme_s2
林业,3,0,0,3020.0,-0.4597550156077403,strict_theme_s2
染料涂料,32,0,0,1935.0,0.31640411072656605,strict_theme_s2
橡胶,12,0,0,2455.0,-0.07480167229922442,strict_theme_s2
水力发电,22,0,0,1082.5,0.7332116145276054,strict_theme_s2
水务,14,0,0,2678.5,-0.1800303416684193,strict_theme_s2
水泥,22,0,0,3326.5,-0.32462413514616884,strict_theme_s2
水运,18,0,0,3140.5,-0.551938391837705,strict_theme_s2
汽车整车,22,0,0,3922.0,-0.7334425836956739,strict_theme_s2
汽车服务,8,0,0,3438.5,-0.38022429624452786,strict_theme_s2
汽车配件,231,0,1,2437.0,-0.03598387576849107,strict_theme_s2
渔业,7,0,0,2188.0,-0.12897499482811484,strict_theme_s2
港口,16,0,0,3414.5,-0.3015458905853514,strict_theme_s2
火力发电,31,0,0,975.0,1.0917522824433137,strict_theme_s2
焦炭加工,7,0,0,1113.0,0.7240117897806382,strict_theme_s2
煤炭开采,25,0,5,634.0,1.241371641269038,strict_theme_s2
特种钢,10,0,0,4126.5,-0.5275521918141789,strict_theme_s2
环境保护,109,0,1,2254.0,0.029539773734788968,strict_theme_s2
玻璃,19,0,0,1501.0,0.5007188265295823,strict_theme_s2
生物制药,72,0,0,3111.5,-0.4532985606430422,strict_theme_s2
电信运营,5,0,0,1750.0,0.27910560217773445,strict_theme_s2
电器仪表,85,0,2,1673.0,0.3293589294354749,strict_theme_s2
电器连锁,1,0,0,4777.0,-1.1655049418352144,strict_theme_s2
电气设备,306,1,7,2201.0,0.1289684115622517,strict_theme_s2
白酒,19,0,0,2802.0,-0.10901127862255311,strict_theme_s2
百货,34,1,2,3248.5,-0.2747980295773367,strict_theme_s2
石油加工,12,0,0,2142.5,-0.13945677657402394,strict_theme_s2
石油开采,17,0,0,2594.0,-0.39517867021938885,strict_theme_s2
石油贸易,4,0,0,2260.0,0.08529131725178929,strict_theme_s2
矿物制品,31,1,2,1593.0,0.7100787159922669,strict_theme_s2
种植业,17,0,0,2250.0,-0.2801696228209605,strict_theme_s2
空运,8,0,0,2390.5,-0.23709819559646766,strict_theme_s2
红黄酒,6,0,1,4283.0,0.006664060757073005,strict_theme_s2
纺织,39,0,0,3445.0,-0.4258405786548102,strict_theme_s2
纺织机械,10,0,0,1814.5,0.22781663532500446,strict_theme_s2
综合类,16,0,0,2276.0,-0.15991462795901923,strict_theme_s2
航空,50,0,0,2752.5,-0.21276615949208577,strict_theme_s2
